CODCID;UF;NOMECID;DDD;CODREG;DISTANCIA;DTALTER;DESCRICAOCORREIO;SEQENTREGA;POPULACAO;CODMUNFIS;VLRFRETEMIN;VLRFRETETON;TIPOFRETE;VLRFRETEKM;VLRTAXAENT;CODMUNSIAFI;CODMUNDMS;LATITUDE;LONGITUDE;VENDAMIN;CODMUNDIEF;QTDDIASSUB;QTDSUB;TEMSUBSTITNFSE;TIPCANCNFSE;VLRLIMCANCNFSE;MOTCANCSUBNFSE;METARREDVLRISS;MAXNOTALOTENFSE;NFSETEMPLATESUBST;TIPOCNAE;NUVERSAO;LINKAGUA;LINKENERGIA;LINKIPTU;TIMPARCPREFEITURA;NOFORMATLC116;CNAEFULLNFSE;NOINSCMUNPAR;GERCODNATISSJSON;ENVITENSSEPJSON;QTDMAXENVITENSJSON;OBSJSONENOTAS;PERMCANCNFSESUBSTIT;JSONSEMALIDENMUN;VMINRETENCAOISS;ACTCANEXNT;ENVFPJSON;CODPARCNFSE;REMZEROESQUERDLC116;INFQTDVLRUNIJSON;ENVMULEMAILJSON;GERNUNFSEINFCPM;ATUNUVERSAO;ENVTAGDESCONJSON;MASCARALC116;GERCNAEMULTJSON;REGESPTRIB;ENVCODIGONBSJSON;MASCARANBS;ENVTPSERVJSON
3250;13;NAVEGANTES;47;0;;22/01/2019 17:04;NAVEGANTES;;;4211306;;;C;;;8221;807600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3251;12;NAVIRAI;67;0;;22/01/2019 17:06;NAVIRAI;;;5005707;;;C;;;9113;51000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3252;14;NAZARE;63;0;;22/01/2019 17:08;NAZARE;;;1714302;;;C;;;9483;900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3253;6;NAZARE;75;0;;22/01/2019 17:10;NAZARE;;;2922508;;;C;;;3751;387400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3254;10;NAZARE DA MATA;81;0;;22/01/2019 16:55;NAZARE DA MATA;;;2609501;;;C;;;2489;297700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3255;23;NAZARE DO PIAUI;89;0;;22/01/2019 16:57;NAZARE DO PIAUI;;;2206704;;;C;;;1133;150800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3256;1;NAZARE PAULISTA;11;0;;22/01/2019 16:59;NAZARE PAULISTA;;;3532405;;;C;;;6749;670500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3257;2;NAZARENO;35;0;;22/01/2019 17:01;NAZARENO;;;3144508;;;C;;;4889;551800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3258;17;NAZAREZINHO;83;0;;22/01/2019 17:03;NAZAREZINHO;;;2510006;;;C;;;2101;247000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3259;23;NAZARIA;86;0;;22/01/2019 17:05;NAZARIA;;;2206720;;;C;;;1180;239600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3260;4;NAZARIO;64;0;;22/01/2019 17:07;NAZARIO;;;5214408;;;C;;;9485;27000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3261;22;NEOPOLIS;79;0;;22/01/2019 17:09;NEOPOLIS;;;2804409;;;C;;;3187;323400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3262;2;NEPOMUCENO;35;0;;22/01/2019 16:54;NEPOMUCENO;;;3144607;;;C;;;4891;507100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3263;4;NEROPOLIS;62;0;;22/01/2019 16:56;NEROPOLIS;;;5214507;;;C;;;9487;27100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3264;1;NEVES PAULISTA;17;0;;22/01/2019 16:58;NEVES PAULISTA;;;3532504;;;C;;;6751;629800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3265;18;NHAMUNDA;92;0;;22/01/2019 17:00;NHAMUNDA;;;1303007;;;C;;;263;87300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3266;1;NHANDEARA;17;0;;22/01/2019 17:02;NHANDEARA;;;3532603;;;C;;;6753;629900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3267;15;NICOLAU VERGUEIRO;54;0;;22/01/2019 17:05;NICOLAU VERGUEIRO;;;4312674;;;C;;;5937;97400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3268;6;NILO PECANHA;73;0;;22/01/2019 17:07;NILO PECANHA;;;2922607;;;C;;;3753;397800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3269;7;NILOPOLIS;21;0;;22/01/2019 17:09;NILOPOLIS;;;3303203;;;C;;;5863;614200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3270;31;NINA RODRIGUES;98;0;;22/01/2019 17:11;NINA RODRIGUES;;;2107209;;;C;;;843;135700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3271;2;NINHEIRA;38;0;;22/01/2019 17:18;NINHEIRA;;;3144656;;;C;;;660;169900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3272;12;NIOAQUE;67;0;;22/01/2019 17:20;NIOAQUE;;;5005806;;;C;;;9115;58000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3273;1;NIPOA;17;0;;22/01/2019 17:22;NIPOA;;;3532702;;;C;;;6755;630000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3274;4;NIQUELANDIA;62;0;;22/01/2019 17:25;NIQUELANDIA;;;5214606;;;C;;;9489;14200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3275;26;NISIA FLORESTA;84;0;;22/01/2019 17:26;NISIA FLORESTA;;;2408201;;;C;;;1763;237100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3276;7;NITEROI;21;0;;22/01/2019 17:51;NITEROI;;;3303302;;;C;;;5865;614300;0;0;;;90;100;S;4;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3277;5;NOBRES;65;0;;22/01/2019 17:53;NOBRES;;;5105903;;;C;;;9117;59800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3278;15;NONOAI;54;0;;22/01/2019 17:55;NONOAI;;;4312708;;;C;;;8757;897600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3279;6;NORDESTINA;75;0;;22/01/2019 17:40;NORDESTINA;;;2922656;;;C;;;3979;365200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3280;24;NORMANDIA;95;0;;22/01/2019 17:42;NORMANDIA;;;1400407;;;C;;;311;89400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3281;5;NORTELANDIA;65;0;;22/01/2019 17:45;NORTELANDIA;;;5106000;;;C;;;9119;64500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
